id;ticket_id;start_time;end_time;status;reservation_code
1;57186;2023-06-12T21:53:21;2023-06-12T07:34:52;ACTIVE;"JP-e2DF7e6a9afe8c"
2;83240;2023-06-12T07:11:16;2023-06-12T07:22:17;CANCELLED;"VY-e81e5d05EF"
3;4664;2023-06-12T17:08:34;2023-06-12T11:09:40;ACTIVE;"NG-25d845FEB1f32C"
4;34723;2023-06-13T01:11:42;2023-06-12T04:57:12;PLACED;"CM-9155489c8bdA"
5;86168;2023-06-12T05:30:34;2023-06-12T16:15:35;EXPIRED;"WQ-61FfE4cfEa4Fef"
6;20365;2023-06-12T08:46:01;2023-06-13T01:43:11;CANCELLED;"PR-46cDeEf089Aee3"
7;27362;2023-06-12T08:45:01;2023-06-12T23:23:18;ACTIVE;"MF-9C8Cb75E6b9"
8;64966;2023-06-12T11:36:20;2023-06-12T11:17:02;CANCELLED;"IL-B201b4a6Eb57"
9;61116;2023-06-12T21:18:48;2023-06-12T08:45:44;ACTIVE;"XN-c982eC2354FF8"
10;45192;2023-06-12T18:40:06;2023-06-13T01:13:18;CANCELLED;"WU-742d0f1B1F"
